抬头	O	O
望望	O	O
天空	O	O
，	O	O
天空	ts	ts
瓦蓝得	O	O
像	O	O
一块	O	O
巨大	O	O
的	O	O
蓝宝石	vs	vb
，	O	ve
蓝宝石	O	O
上	O	O
几朵	O	O
白云悠悠	O	O
地飘着	O	O
，	O	O
不时	O	O
飞过来	O	O
几只	O	O
小鸟	O	O
。	O	O

忽然	O	O
，	O	O
这	O	O
三月	tb	tb
的	tm	tm
天	te	te
就	O	O
像	O	O
孩子	vb	vb
的	vm	vm
脸	ve	ve
说变	O	O
就	O	O
变	O	O
，	O	O
刚才	O	O
这天	O	O
还	O	O
好好	O	O
的	O	O
，	O	O
这时	O	O
就	O	O
雷声大作	O	O
，	O	O
乌云	O	O
滚滚	O	O
下起	O	O
了	O	O
倾盆大雨	O	O
。	O	O

神秘	O	O
得	O	O
像	O	O
有	O	O
一层	O	O
白色	O	O
的	O	O
雾	O	O
或	O	O
薄纱	O	O
始终	O	O
笼罩着	O	O
的	O	O
月光	O	ts
，	O	O
冰冷	O	O
地	O	O
瞧	O	O
着	O	O
流逝	O	O
的	O	O
岁月	O	O
。	O	O

也许	O	O
是因为	O	O
妈妈	O	O
真的	O	O
老	O	O
了	O	O
，	O	O
她	O	O
的	O	O
行动	O	O
变	O	O
的	O	O
不是	O	O
那么	O	O
利索	O	O
，	O	O
她	O	O
的	O	O
身子	O	O
也	O	O
不	O	O
像	O	O
以前	O	O
那么	O	O
硬朗	O	O
了	O	O
。	O	O

